TRADING CODE,TRADING CODE url,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
https://www.dsebd.org/displayCompany.php?name=ACMEPL,ACMEPL,0,0,0,35.4,35.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=BDSERVICE,BDSERVICE,0,0,0,5.2,5.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=BIFC,BIFC,0,0,0,9.5,9.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=COPPERTECH,COPPERTECH,0,0,0,36.9,36.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=OAL,OAL,0,0,0,9.9,9.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=KPCL,KPCL,0,0,0,26.6,26.6,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=KDSALTD,KDSALTD,0,0,0,77,77,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=QUASEMIND,QUASEMIND,0,0,0,58.4,58.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=INDEXAGRO,INDEXAGRO,0,0,0,103.6,103.6,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=IFILISLMF1,IFILISLMF1,0,0,0,7,7,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=IFIC1STMF,IFIC1STMF,0,0,0,5.1,5.1,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ICBSONALI1,ICBSONALI1,0,0,0,7.8,7.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ICBIBANK,ICBIBANK,0,0,0,5.4,5.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=REGENTTEX,REGENTTEX,0,0,0,9.8,9.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ICBEPMF1S1,ICBEPMF1S1,0,0,0,7.1,7.1,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=KPPL,KPPL,0,0,0,8.9,8.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=LANKABAFIN,LANKABAFIN,0,0,0,26,26,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=PRIMEINSUR,PRIMEINSUR,0,0,0,82.8,82.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=NLI1STMF,NLI1STMF,0,0,0,0,14.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=NATLIFEINS,NATLIFEINS,0,0,0,179,179,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=PHOENIXFIN,PHOENIXFIN,0,0,0,16.3,16.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=NAHEEACP,NAHEEACP,0,0,0,65.3,65.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=PLFSL,PLFSL,0,0,0,3,3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=MONNOFABR,MONNOFABR,0,0,0,24.1,24.1,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=PREMIERLEA,PREMIERLEA,0,0,0,6.8,6.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=PRIME1ICBA,PRIME1ICBA,0,0,0,7.7,7.7,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=LRGLOBMF1,LRGLOBMF1,0,0,0,6.4,6.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=PRIMEFIN,PRIMEFIN,0,0,0,11.5,11.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ICBAMCL2ND,ICBAMCL2ND,0,0,0,8.7,8.7,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ICBAGRANI1,ICBAGRANI1,0,0,0,9.2,9.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=MITHUNKNIT,MITHUNKNIT,0,0,0,15.6,15.6,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=EXIM1STMF,EXIM1STMF,0,0,0,5.8,5.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SHASHADNIM,SHASHADNIM,0,0,0,27,27,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SHEPHERD,SHEPHERD,0,0,0,24,24,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ESQUIRENIT,ESQUIRENIT,0,0,0,34.5,34.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ENVOYTEX,ENVOYTEX,0,0,0,43.9,43.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=DULAMIACOT,DULAMIACOT,0,0,0,70.8,70.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=DSSL,DSSL,0,0,0,17,17,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=DESCO,DESCO,0,0,0,36.6,36.6,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SONARGAON,SONARGAON,0,0,0,33.1,33.1,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SEMLIBBLSF,SEMLIBBLSF,0,0,0,8.5,8.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SAVAREFR,SAVAREFR,0,0,0,215.5,215.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=FAMILYTEX,FAMILYTEX,0,0,0,4.9,4.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ICB3RDNRB,ICB3RDNRB,0,0,0,6.5,6.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=HEIDELBCEM,HEIDELBCEM,0,0,0,179.1,179.1,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=GSPFINANCE,GSPFINANCE,0,0,0,30.3,30.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=RUNNERAUTO,RUNNERAUTO,0,0,0,48.4,48.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=GOLDENSON,GOLDENSON,0,0,0,18.2,18.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=FIRSTFIN,FIRSTFIN,0,0,0,5.5,5.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SAIHAMCOT,SAIHAMCOT,0,0,0,16.4,16.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=FBFIF,FBFIF,0,0,0,5,5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SALAMCRST,SALAMCRST,0,0,0,33.3,33.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=SALVOCHEM,SALVOCHEM,0,0,0,61.8,61.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=DELTASPINN,DELTASPINN,0,0,0,8.5,8.5,--,0,0,0
